itot;pridtot;lon;lat;xtot;ytot;ztot;ttot;laftot;
 282;9;5.717945;58.866692;-533113;-421446;23;4.2;1;
 365;9;10.442984;55.335289;-290370;-844391;36;3.4;1;
 348;9;12.882684;56.257369;-131602;-749227;27;2;1;
 271;9;17.988138;59.265699;170093;-411568;65;-2.3;1;
 262;9;5.766259;59.088615;-526818;-397365;43;4.5;1;
 347;9;12.504176;55.962638;-156398;-781354;28;3.3;1;
 256;9;24.677741;60.178871;533755;-273578;24;-3.3;1;
 345;9;9.780103;55.582703;-330272;-813538;30;3.1;1;
 272;9;18.18879;59.218078;181769;-416319;34;-1.2;1;
 266;9;11.089654;59.918552;-218111;-336169;145;-2.8;1;
 326;9;10.56218;56.411987;-274471;-724617;17;3.1;1;
 209;9;14.177304;62.50652;-42232;-54603;446;-5.4;1;
 156;9;25.46918;64.859495;492647;246995;22;-9.2;1;
 266;9;9.96975;59.495601;-284145;-378788;71;0.2;1;
 223;9;5.65451;61.375592;-496277;-144524;15;-0.1;1;
 246;9;11.1863;60.160178;-211132;-309638;173;-2;1;
 247;9;11.367394;60.644945;-198071;-256346;320;-3.7;1;
 271;9;17.953595;59.370005;167594;-400050;12;-1.3;1;
 344;9;8.775064;56.062607;-388485;-754377;44;4.8;1;
 265;9;9.639174;59.655329;-301295;-359550;174;15.3;1;
 203;9;6.287748;62.460665;-446563;-29675;12;1.6;1;
 186;9;10.425958;63.401017;-227540;52687;81;-4.7;1;
 264;9;7.368454;59.564614;-429603;-356698;850;-4.1;1;
 256;9;24.766439;60.251261;537391;-264873;38;-4.4;1;
 272;9;18.900019;59.639064;219422;-367272;18;-1.2;1;
 262;9;5.260964;59.439672;-549530;-354445;15;3.7;1;
 264;9;7.435679;59.485415;-426871;-365906;784;-7.2;1;
 115;9;25.669715;66.537188;471150;432753;97;-8;1;
 226;9;10.511964;61.208866;-240270;-190809;805;-7.2;1;
 266;9;10.821314;59.854676;-233520;-342325;134;-1.7;1;
 246;9;10.638289;60.65502;-237694;-252757;473;-5.1;1;
 264;9;7.333382;59.779216;-428725;-332731;860;-2.1;1;
 347;9;12.507425;55.89309;-156496;-789144;19;3.1;1;
 347;9;12.386311;55.783759;-164594;-801078;54;2.6;1;
 282;9;6.002208;58.594665;-521125;-453799;123;1.7;1;
 284;9;7.74511;58.91859;-416596;-430679;239;-3.8;1;
 271;9;17.964369;59.441183;167840;-392101;33;-2.7;1;
 203;9;6.112082;62.585775;-453594;-14663;32;0.1;1;
 290;9;16.1833;58.599998;68742;-489090;4;-6.7;1;
 347;9;12.625864;55.644832;-150090;-817217;4;3.4;1;
 266;9;10.337294;59.214495;-265690;-411589;55;0.6;1;
 177;9;26.517053;63.623057;565952;120100;113;-11.3;1;
 347;9;12.626904;55.641263;-150039;-817620;5;2.8;1;
 347;9;12.256266;55.561443;-173841;-825624;3;3.8;1;
 286;9;10.005755;59.050296;-285965;-428414;77;0.3;1;
 242;9;5.52345;60.041344;-524989;-290376;11;4;1;
 286;9;10.046976;59.043473;-283668;-429355;46;11.6;1;
 309;9;14.350145;57.471113;-39027;-615502;217;1.7;1;
 365;9;10.371517;55.437668;-294090;-832618;17;3.6;1;
 256;9;24.960223;60.544464;542934;-230993;73;-3.5;1;
 344;9;9.105242;55.732859;-371319;-793095;59;3.4;1;
 310;9;15.5767;58.204192;33900;-533718;144;-0.9;1;
 262;9;5.685682;58.995843;-532875;-406933;31;4.8;1;
 347;9;12.871839;56.228278;-132384;-752459;16;1.9;1;
 367;9;12.047086;54.84421;-190778;-905393;14;2.2;1;
 245;9;9.016429;60.166143;-330914;-299829;291;0.2;1;
 262;9;5.675547;58.945488;-534262;-412403;48;4.6;1;
 365;9;10.319454;55.424305;-297501;-833873;15;3.2;1;
 266;9;11.018199;59.943334;-221921;-333170;189;-2.3;1;
 247;9;11.627816;60.472673;-184890;-276266;166;-2.7;1;
 71;9;18.051655;69.14814;121497;687921;2;-2.9;1;
